E_z,New E_z,Grouping_error,Element_ID,E_z after Grouping,Amount of Elements in Group
9547.15655205,7686.50611820028,1860.6504338497207,13727,7686.50611820028,143.0
9427.30761693,7686.50611820028,1740.8014987297202,15603,5932.59043127482,305.0
9409.84683948,7686.50611820028,1723.3407212797201,7012,4698.769792363159,535.0
9402.604611869998,7686.50611820028,1716.0984936697178,11741,3695.84486247687,770.0
9357.098984059998,7686.50611820028,1670.5928658597177,330,2845.9764355694506,1055.0
9232.30906983,7686.50611820028,1545.8029516297202,8314,2080.3452597514383,1460.0
9138.248334389998,7686.50611820028,1451.7422161897184,13737,1455.196971307969,2073.0
9033.595001940002,7686.50611820028,1347.0888837397224,12324,965.3677822398844,2766.0
9024.62454177,7686.50611820028,1338.1184235697192,11409,546.1538910441396,3911.0
9005.418307330001,7686.50611820028,1318.912189129721,11963,213.50092088499645,9753.0
9000.73853032,7686.50611820028,1314.2324121197207,13450,,
8860.05677091,7686.50611820028,1173.5506527097195,19064,,
8841.49433733,7686.50611820028,1154.9882191297193,21927,,
8817.134148399999,7686.50611820028,1130.6280301997185,4635,,
8763.528724839998,7686.50611820028,1077.022606639718,16187,,
8748.47606463,7686.50611820028,1061.96994642972,12497,,
8701.46774671,7686.50611820028,1014.961628509719,5718,,
8690.868135980001,7686.50611820028,1004.3620177797211,10383,,
8668.101682559998,7686.50611820028,981.5955643597181,6773,,
8643.93065747,7686.50611820028,957.4245392697203,11390,,
8590.49358475,7686.50611820028,903.98746654972,5761,,
8586.25889826,7686.50611820028,899.752780059719,13846,,
8561.55191544,7686.50611820028,875.0457972397207,16563,,
8546.196007370001,7686.50611820028,859.689889169721,3312,,
8506.6464745,7686.50611820028,820.1403562997193,22280,,
8492.79289621,7686.50611820028,806.2867780097195,13141,,
8466.8711183,7686.50611820028,780.3650000997195,17620,,
8455.434989129999,7686.50611820028,768.9288709297189,16572,,
8454.370522269997,7686.50611820028,767.8644040697172,16901,,
8431.86584374,7686.50611820028,745.3597255397208,20623,,
8332.27859972,7686.50611820028,645.7724815197207,17126,,
8302.525904329998,7686.50611820028,616.0197861297174,14021,,
8296.56563921,7686.50611820028,610.0595210097208,5831,,
8242.342254789997,7686.50611820028,555.8361365897172,60,,
8222.87730858,7686.50611820028,536.3711903797202,5239,,
8208.28573701,7686.50611820028,521.7796188097191,2166,,
8181.79866264,7686.50611820028,495.2925444397197,8277,,
8161.036649149997,7686.50611820028,474.5305309497171,12020,,
8140.309144269998,7686.50611820028,453.8030260697178,10190,,
8132.35570595,7686.50611820028,445.84958774971983,16624,,
8081.6082274499995,7686.50611820028,395.10210924971943,13275,,
7956.6299027999985,7686.50611820028,270.1237845997184,3502,,
7940.90169392,7686.50611820028,254.39557571972,5511,,
7917.649500530001,7686.50611820028,231.14338232972113,13425,,
7915.84999254,7686.50611820028,229.34387433972006,588,,
7900.408329329999,7686.50611820028,213.90221112971903,7546,,
7900.203374069999,7686.50611820028,213.6972558697189,22560,,
7896.844886139998,7686.50611820028,210.3387679397183,12815,,
7858.21898025,7686.50611820028,171.71286204971966,15210,,
7794.75246394,7686.50611820028,108.2463457397198,11149,,
7793.994687340003,7686.50611820028,107.48856913972304,16071,,
7784.443082679999,7686.50611820028,97.93696447971888,7937,,
7776.04608342,7686.50611820028,89.53996521972022,11816,,
7731.264303419998,7686.50611820028,44.75818521971814,4309,,
7701.581458199999,7686.50611820028,15.07533999971929,1180,,
7690.7500867,7686.50611820028,4.243968499719813,11010,,
7666.31890757,7686.50611820028,20.18721063027988,13773,,
7657.268089049999,7686.50611820028,29.238029150281363,15376,,
7611.99769607,7686.50611820028,74.50842213028045,2848,,
7608.878999670001,7686.50611820028,77.6271185302794,3083,,
7592.19108179,7686.50611820028,94.3150364102803,1423,,
7549.484676179999,7686.50611820028,137.02144202028103,16424,,
7535.604992409999,7686.50611820028,150.90112579028118,17721,,
7527.663029950001,7686.50611820028,158.84308825027892,14631,,
7523.45034929,7686.50611820028,163.05576891027977,17960,,
7521.26659638,7686.50611820028,165.23952182028006,2128,,
7519.05441375,7686.50611820028,167.45170445027998,21627,,
7490.206390890001,7686.50611820028,196.2997273102792,7796,,
7455.252146330001,7686.50611820028,231.2539718702792,12768,,
7424.760312609999,7686.50611820028,261.7458055902807,2380,,
7424.707292939998,7686.50611820028,261.7988252602818,11629,,
7416.18876784,7686.50611820028,270.3173503602802,16391,,
7391.545901269999,7686.50611820028,294.9602169302807,4322,,
7384.3779516899995,7686.50611820028,302.1281665102806,15426,,
7384.138186279999,7686.50611820028,302.3679319202811,601,,
7359.35920853,7686.50611820028,327.14690967028037,8168,,
7355.547411299999,7686.50611820028,330.95870690028096,20189,,
7347.10692993,7686.50611820028,339.3991882702803,17124,,
7328.99312077,7686.50611820028,357.51299743027994,15514,,
7323.497141579999,7686.50611820028,363.0089766202809,5789,,
7321.743960319999,7686.50611820028,364.76215788028094,14586,,
7318.0851372100005,7686.50611820028,368.42098099027953,9963,,
7314.406896579997,7686.50611820028,372.09922162028306,14354,,
7309.64354688,7686.50611820028,376.86257132028004,16211,,
7295.12037997,7686.50611820028,391.38573823028037,20082,,
7292.99256139,7686.50611820028,393.5135568102796,16626,,
7279.20682889,7686.50611820028,407.2992893102801,19076,,
7276.856906449997,7686.50611820028,409.64921175028303,11354,,
7275.116823669999,7686.50611820028,411.3892945302814,20022,,
7274.15979377,7686.50611820028,412.3463244302802,21067,,
7271.809722700001,7686.50611820028,414.6963955002793,22281,,
7268.582432550001,7686.50611820028,417.92368565027937,4000,,
7262.12555016,7686.50611820028,424.3805680402802,1969,,
7257.14036572,7686.50611820028,429.3657524802802,4780,,
7251.1231492,7686.50611820028,435.38296900028035,2892,,
7234.541444449999,7686.50611820028,451.9646737502808,15316,,
7230.36962855,7686.50611820028,456.13648965028005,12758,,
7207.880850990001,7686.50611820028,478.62526721027916,2760,,
7207.32629864,7686.50611820028,479.1798195602805,17717,,
7201.50356467,7686.50611820028,485.00255353028024,14976,,
7194.019805019998,7686.50611820028,492.4863131802822,4975,,
7188.751458279999,7686.50611820028,497.7546599202815,13380,,
7185.14850747,7686.50611820028,501.3576107302797,9133,,
7165.307472210001,7686.50611820028,521.1986459902791,15630,,
7157.799758219998,7686.50611820028,528.7063599802823,13345,,
7155.425685369999,7686.50611820028,531.0804328302811,18771,,
7154.66227815,7686.50611820028,531.84384005028,1081,,
7154.3786349599995,7686.50611820028,532.1274832402805,20963,,
7150.15758886,7686.50611820028,536.34852934028,2970,,
7124.189842930001,7686.50611820028,562.3162752702792,21435,,
7082.448930130001,7686.50611820028,604.0571880702792,16561,,
7078.82665056,7686.50611820028,607.6794676402797,8197,,
7071.725696680002,7686.50611820028,614.7804215202777,9892,,
7071.590935160001,7686.50611820028,614.9151830402789,10391,,
7057.993790139998,7686.50611820028,628.512328060282,16017,,
7048.468890329998,7686.50611820028,638.0372278702816,10177,,
7024.45180533,7686.50611820028,662.0543128702802,21926,,
7014.534102059999,7686.50611820028,671.9720161402811,15732,,
7009.549097209999,7686.50611820028,676.9570209902813,14950,,
7006.768063599996,7686.50611820028,679.7380546002842,1266,,
7000.72569207,7686.50611820028,685.7804261302799,13906,,
6997.45673934,7686.50611820028,689.0493788602798,149,,
6979.463055589999,7686.50611820028,707.0430626102807,6652,,
6970.623082199998,7686.50611820028,715.8830360002821,5222,,
6965.211167650002,7686.50611820028,721.2949505502784,9639,,
6963.3038436299985,7686.50611820028,723.2022745702816,17797,,
6956.127044619999,7686.50611820028,730.3790735802813,6584,,
6953.7570649300005,7686.50611820028,732.7490532702795,22585,,
6941.85689593,7686.50611820028,744.64922227028,16658,,
6920.654153569999,7686.50611820028,765.8519646302811,18974,,
6918.977964089996,7686.50611820028,767.528154110284,3531,,
6906.85292631,7686.50611820028,779.6531918902801,22439,,
6906.668620430002,7686.50611820028,779.8374977702779,5317,,
6902.7519653399995,7686.50611820028,783.7541528602806,17856,,
6900.085997459999,7686.50611820028,786.4201207402812,19268,,
6890.058532169999,7686.50611820028,796.447586030281,18332,,
6887.159590779999,7686.50611820028,799.3465274202808,12865,,
6882.83472691,7686.50611820028,803.6713912902796,3856,,
6868.66920947,7686.50611820028,817.8369087302799,19270,,
6846.92527804,7686.50611820028,839.5808401602799,14872,,
6846.061068629999,7686.50611820028,840.4450495702813,20735,,
6834.638528970001,7686.50611820028,851.867589230279,8145,,
6816.7057578600015,7686.50611820028,869.8003603402785,16926,,
6809.830643309999,5932.59043127482,877.240212035179,14603,,
6807.91304026,5932.59043127482,875.3226089851805,6762,,
6797.22765734,5932.59043127482,864.6372260651806,10687,,
6794.311997509999,5932.59043127482,861.7215662351791,10770,,
6786.430237679999,5932.59043127482,853.8398064051789,14381,,
6784.05747997,5932.59043127482,851.46704869518,17998,,
6771.646879650001,5932.59043127482,839.0564483751814,10351,,
6751.237602249999,5932.59043127482,818.6471709751795,8860,,
6727.39396794,5932.59043127482,794.8035366651802,21508,,
6722.072182779999,5932.59043127482,789.4817515051791,19636,,
6711.380901440002,5932.59043127482,778.7904701651823,18099,,
6710.436167589999,5932.59043127482,777.8457363151792,13692,,
6706.38443473,5932.59043127482,773.7940034551802,7434,,
6705.23265184,5932.59043127482,772.6422205651797,15230,,
6699.808836119999,5932.59043127482,767.2184048451791,14718,,
6699.271363959999,5932.59043127482,766.680932685179,12972,,
6690.72961247,5932.59043127482,758.1391811951798,19223,,
6683.453151420001,5932.59043127482,750.8627201451809,12892,,
6677.165511909999,5932.59043127482,744.5750806351789,19708,,
6650.76666907,5932.59043127482,718.17623779518,19949,,
6648.43356939,5932.59043127482,715.8431381151804,5461,,
6645.37321198,5932.59043127482,712.7827807051799,8525,,
6641.48913435,5932.59043127482,708.8987030751805,7803,,
6636.573816359999,5932.59043127482,703.9833850851792,15715,,
6635.31279034,5932.59043127482,702.7223590651802,5571,,
6628.462334630001,5932.59043127482,695.8719033551815,11614,,
6618.49533322,5932.59043127482,685.9049019451804,2631,,
6614.22882932,5932.59043127482,681.6383980451801,6170,,
6613.715778510003,5932.59043127482,681.1253472351827,9326,,
6611.844751310001,5932.59043127482,679.2543200351811,14527,,
6589.537817949999,5932.59043127482,656.9473866751796,5194,,
6589.25484522,5932.59043127482,656.6644139451801,1794,,
6582.365264689998,5932.59043127482,649.7748334151784,17710,,
6579.932267299999,5932.59043127482,647.341836025179,16096,,
6565.578757960002,5932.59043127482,632.9883266851821,11486,,
6564.9191339,5932.59043127482,632.3287026251801,20024,,
6557.38119237,5932.59043127482,624.7907610951797,18880,,
6550.343093349999,5932.59043127482,617.7526620751796,17077,,
6545.355238439998,5932.59043127482,612.7648071651784,3767,,
6538.221032280001,5932.59043127482,605.6306010051812,5552,,
6537.93152451,5932.59043127482,605.3410932351799,20056,,
6537.215246730001,5932.59043127482,604.6248154551813,22584,,
6525.3040067,5932.59043127482,592.7135754251804,14042,,
6513.898202769999,5932.59043127482,581.3077714951796,7399,,
